City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
330,nathdwara,0,IN,1525555951,36,24.93,73.82,77.84,7.56
331,vung tau,40,VN,1525552200,88,10.35,107.08,82.4,4.7
332,acapulco,90,MX,1525553280,74,16.86,-99.88,84.2,5.82
333,port hedland,0,AU,1525550400,53,-20.31,118.58,71.6,6.93
334,elat,88,CM,1525555953,99,2.91,11.16,68.39,2.37
335,sinnamary,80,GF,1525555953,93,5.38,-52.96,80.9,11.25
336,kirakira,76,SB,1525555953,100,-10.46,161.92,80.9,9.42
337,nuevo casas grandes,0,MX,1525555953,16,30.42,-107.91,82.16,13.27
338,goderich,0,CA,1525555908,65,43.74,-81.71,65.42,8.75
339,guhagar,0,IN,1525555954,100,17.48,73.19,78.83,7.34
340,avera,1,US,1525553700,51,33.19,-82.53,82.4,5.82
341,khorinsk,0,RU,1525555954,73,52.16,109.78,22.94,2.26
342,bilma,0,NE,1525555954,17,18.69,12.92,77.57,5.61
343,ilebo,48,CD,1525555955,93,-4.33,20.59,75.41,1.81
344,cranbrook,75,CA,1525554000,37,49.51,-115.76,69.8,6.93
345,beira,0,ES,1525554000,71,43.2,-8.36,57.2,4.7
346,ambovombe,0,MG,1525555955,97,-25.18,46.09,67.04,4.38
347,namibe,0,AO,1525555956,100,-15.19,12.15,76.76,1.74
348,wanning,40,AT,1525551600,93,48.64,13.53,55.4,1.12
349,vila franca do campo,20,PT,1525554000,67,37.72,-25.43,60.8,3.36
350,kenai,75,US,1525553760,52,60.55,-151.26,48.2,17.22
351,soyo,80,AO,1525555957,94,-6.13,12.37,77.93,3.49
352,tak bai,75,TH,1525550400,94,6.26,102.05,78.8,2.24
353,gasa,32,BT,1525555957,70,27.91,89.73,11.15,0.96
354,riviere-au-renard,20,CA,1525550400,75,49.0,-64.4,53.6,23.04
355,balad,64,ID,1525555957,100,-6.76,108.42,80.0,6.4
356,grand baie,40,MU,1525554000,73,-20.02,57.58,73.4,6.93
357,agua fria,5,US,1525553760,8,34.24,-117.22,96.8,9.17
358,seymchan,24,RU,1525555958,95,62.93,152.39,33.38,3.6
359,norrtalje,0,SE,1525553400,76,59.76,18.7,55.4,1.12
360,sampit,0,ID,1525555959,76,-2.54,112.95,75.68,7.29
361,taltal,0,CL,1525555959,75,-25.41,-70.49,65.15,2.86
362,clonakilty,75,IE,1525554000,100,51.62,-8.87,48.2,5.82
363,limbang,75,BN,1525552200,94,4.75,115.01,80.6,2.24
364,raduzhnyy,44,RU,1525555960,74,62.1,77.47,10.25,13.04
365,vostok,92,RU,1525555960,97,46.45,135.83,36.17,2.3
366,pangnirtung,36,CA,1525555960,93,66.15,-65.72,14.48,6.51
367,port hardy,20,CA,1525554000,82,50.7,-127.42,55.4,5.82
368,chapais,90,CA,1525553940,75,49.78,-74.86,42.8,14.99
369,kamaishi,44,JP,1525555961,70,39.28,141.86,57.68,5.1
370,moranbah,0,AU,1525555961,87,-22.0,148.04,63.35,10.92
371,salta,40,AR,1525554000,88,-24.79,-65.41,73.4,6.93
372,rumoi,88,JP,1525555962,96,43.93,141.67,43.28,3.2
373,boguchany,92,RU,1525555962,100,58.38,97.46,34.1,3.53
374,kailua,75,US,1525553820,83,21.39,-157.74,80.6,10.29
375,sur,0,OM,1525555962,82,22.57,59.53,85.4,6.4
376,muros,0,ES,1525554000,67,42.77,-9.06,57.2,8.05
377,port-cartier,75,CA,1525552260,75,50.03,-66.88,46.4,11.41
378,makokou,64,GA,1525555963,99,0.56,12.85,72.44,2.19
379,binzhou,76,CN,1525555963,67,37.38,117.96,59.03,4.72
